QuesSimText,AnsSimText,Position Title,topic,cluster,positive_percentage,BU,Experience,Attr 3,Age,Attr 5,City,Attr7*
Do you like our new Agile Open Office?,"let's clarify wha's agile open office firstly. the areas for meetings or discussions newly renovated are not agile open office. the real agile open office are the areas where employees are working/coding everyday, not somewhere they have to walk to. take a look at the open office that bluemix and cio resides, you know what's true agile open office.",Software Release Manager,environment+agile,10.0,0.5783216783216784,BU1,5.0,0.0,a4,1.0,Beijing,S14
工程师的日常生活里，你觉得甚么最需要去改变？(e.g. 工作态度，社交活动，生活习惯，创新思考，保持热忱... 等，请自由发挥),对工程师而言，最重要的是态度和思考问题的方式。但文化的改变不只是工程师的事，不只是自底向上就能做到的。公司高层的支持和自身的改变对公司文化的改变至关重要。,Software Release Manager,engineer,6.0,1.0,BU1,5.0,0.0,a4,1.0,Beijing,S14
除了项目以外， 你一周学习新技术的时间有多少？比如：一周1个小时，一周4个小时，一周10个小时，等等？,"just 4 in the weekend, as i don't have time in workdays. my evening are fully booked by meetings as well.",Software Release Manager,learn+technique,8.0,0.5,BU1,5.0,0.0,a4,1.0,Beijing,S14
说到工程师文化，你想到的前三个词是什么？例如： 自由，效率，平等，尊重，信任，创新，简化流程，快速迭代，一切以解决问题为导向等等,技术导向，敏捷精益，持续提高,Software Release Manager,engineer,6.0,1.0,BU1,5.0,0.0,a4,1.0,Beijing,S14
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",撸起袖子就是干,Software Architect,IBM,3.0,0.5,BU1,4.0,1.0,a4,1.0,Beijing,S14
你希望公司管理层（BUE及以上，包括CDL或CDL外）应该继续做什么（keep doing）？,继续敏捷转型，鼓励并提供更多的机会让员工可以接触新的技术思想和实际应用的机会，从而能够在业务和技术栈两方面持续发展，保持先进性。,Software Architect,company management,1.0,1.0,BU1,4.0,1.0,a4,1.0,Beijing,S14
你希望公司管理层（BUE及以上，包括CDL或CDL外）应该停止做什么（stop doing）？,停止过于频繁的调整战略和路线图，明确cio的云计算转型路线图，停止不必要的应用和运营成本。,Software Architect,company management,1.0,0.2,BU1,4.0,1.0,a4,1.0,Beijing,S14
IBM要转型成功，你认为是技术更重要，还是满足客户需求更重要？,不管对于公司长期发展还是个人职业发展来说技术都是一个很重要的方面，不过技术存在的价值是解决业务问题，如果不能解决客户问题再好的技术也不能产生价值。因此我认为在解决业务问题的前提下引导客户采用创新性技术是win-win的选择。,Software Architect,transformation,11.0,0.6,BU1,4.0,1.0,a3,1.0,Beijing,S8
你希望公司管理层（BUE及以上，包括CDL或CDL外）应该继续做什么（keep doing）？,持续为员工职业发展创造机会， 大力宣扬工程师文化塑造浓厚技术氛围。,Software Architect,company management,1.0,0.5,BU1,4.0,1.0,a3,1.0,Beijing,S8
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？",断腕停掉老旧产品，增加投资吸引牛人，搞出拳头产品，占领市场，重获增长,Software Release Manager,IBM,3.0,1.0,BU1,4.0,0.0,a3,1.0,Beijing,S12
Do you like our new Agile Open Office?,do you like our new agile open office? just  so  so,Software Developer,environment+agile,10.0,0.6060606060606061,BU1,3.0,1.0,a4,1.0,Beijing,S6
"Dear IBMer, 你觉得你能够做些什么来让IBM重新在业界走上巅峰？","dear ibmer, 你觉得你能够做些什么来让ibm重新在业界走上巅峰？(in your mind, what could you do to help ibm back to the top company in industry?)  i  need  to  work  harder,  learn  more,  practice  more.",Software Developer,IBM,3.0,0.5,BU1,3.0,1.0,a4,1.0,Beijing,S6
你最喜欢的Whitewater工具是什么？,trello,Software Developer,others,12.0,0.5,BU1,3.0,1.0,a3,1.0,Beijing,S2
Do you like our new Agile Open Office?,yes,Software Designer,environment+agile,10.0,1.0,BU1,3.0,1.0,a3,1.0,Beijing,S9
Do you like our new Agile Open Office?,yes,Application Architect,environment+agile,10.0,1.0,BU1,3.0,1.0,a3,1.0,Beijing,S11
我们新装修的Agile workspace， 你觉得还有味吗？,够味儿,Software Developer,environment+agile,10.0,1.0,BU1,3.0,1.0,a2,1.0,Beijing,S7
Do you like our new Agile Open Office?,yes!,Software Release Manager,environment+agile,10.0,0.5,BU1,3.0,0.0,a2,1.0,Beijing,S7
